iter	Passed	Remaining
399	72674	109012
400	72845	108813
401	73008	108604
402	73182	108412
403	73365	108232
404	73507	107992
405	73696	107822
406	73768	107480
407	74010	107387
408	74200	107218
409	74295	106913
410	74493	106756
411	74671	106570
412	74860	106400
413	74987	106141
414	75158	105946
415	75343	105771
416	75529	105596
417	75713	105419
418	75892	105234
419	76087	105073
420	76261	104881
421	76554	104854
422	76742	104682
423	76920	104495
424	77097	104308
425	77266	104109
426	77384	103844
427	77459	103520
428	77630	103326
429	77805	103137
430	78027	103011
431	78188	102803
432	78363	102614
433	78559	102453
434	78741	102273
435	78895	102057
436	79068	101866
437	79232	101663
438	79277	101308
439	79435	101099
440	79596	100894
441	79775	100712
442	79821	100362
443	79933	100097
444	80099	99899
445	80258	99693
446	80362	99419
447	80511	99201
448	80673	98999
449	80833	98796
450	80919	98502
451	81061	98278
452	81213	98065
453	81366	97855
454	81523	97648
455	81671	97432
456	81832	97231
457	81991	97029
458	82143	96818
459	82294	96606
460	82549	96516
461	82718	96325
462	82881	96128
463	83063	95952
464	83229	95758
465	83388	95556
466	83559	95368
467	83731	95181
468	83891	94981
469	84043	94772
470	84212	94582
471	84269	94267
472	84431	94071
473	84495	93764
474	84665	93577
475	84828	93382
476	84999	93196
477	85165	93005
478	85323	92804
479	85511	92637
480	85678	92446
481	85842	92253
482	85896	91942
483	86053	91742
484	86226	91560
485	86393	91370
486	86578	91201
487	86743	91010
488	86930	90841
489	87106	90661
490	87280	90479
491	87567	90415
492	87751	90243
493	87979	90116
494	88180	89962
495	88361	89786
496	88421	89489
497	88474	89185
498	88654	89009
499	88818	88818
500	89004	88649
501	89198	88487
502	89372	88306
503	89543	88122
504	89718	87941
505	89905	87773
506	90090	87602
507	90252	87409
508	90426	87228
509	90595	87042
510	90781	86872
511	90939	86677
512	91135	86516
513	91423	86443
514	91592	86256
515	91667	85982
516	91718	85686
517	91884	85498
518	91950	85218
519	92133	85046
520	92211	84778
521	92308	84527
522	92493	84358
523	92693	84202
524	92815	83975
525	93013	83817
526	93210	83659
527	93311	83414
528	93515	83262
529	93689	83083
530	93859	82900
531	94029	82717
532	94215	82548
533	94387	82367
534	94585	82209
535	94778	82047
536	94949	81865
537	95163	81720
538	95347	81549
539	95494	81347
540	95556	81072
541	95719	80884
542	95910	80719
543	96093	80549
544	96267	80370
545	96442	80192
546	96617	80014
547	96803	79844
548	96975	79664
549	97174	79506
550	97369	79344
551	97587	79201
552	97932	79160
553	98138	79007
554	98340	78849
555	98538	78689
556	98747	78537
557	98937	78369
558	99139	78212
559	99320	78037
560	99515	77873
561	99705	77706
562	99890	77534
563	100069	77358
564	100176	77126
565	100370	76962
566	100565	76798
567	100756	76631
568	100947	76464
569	101128	76290
570	101312	76117
571	101592	76016
572	101805	75865
573	102003	75703
574	102205	75543
575	102401	75379
576	102499	75142
577	102691	74975
578	102867	74796
579	103051	74623
580	103245	74457
581	103439	74291
582	103639	74129
583	103832	73962
584	104030	73799
585	104201	73617
586	104383	73441
587	104584	73280
588	104760	73101
589	104938	72923
590	105129	72754
591	105399	72640
592	105568	72455
593	105734	72269
594	105908	72088
595	105974	71834
596	106139	71648
597	106301	71460
598	106469	71276
599	106629	71086
600	106776	70888
601	106940	70701
602	107106	70516
603	107280	70336
604	107439	70146
605	107596	69955
606	107771	69776
607	107947	69597
608	108121	69417
609	108321	69254
610	108376	68998
611	108544	68815
612	108717	68635
613	108839	68423
614	109003	68238
615	109159	68047
616	109328	67864
617	109491	67679
618	109652	67492
619	109823	67311
620	109992	67129
621	110148	66939
622	110313	66754
623	110488	66576
624	110648	66389
625	110827	66212
626	110980	66022
627	111139	65834
628	111287	65640
629	111441	65449
630	111588	65255
631	111809	65104
632	111973	64920
633	112119	64725
634	112278	64538
635	112439	64352
636	112587	64158
637	112740	63968
638	112891	63777
639	113044	63587
640	113201	63399
641	113353	63209
642	113502	63017
643	113665	62833
644	113814	62641
645	113967	62452
646	114126	62266
647	114296	62087
648	114445	61895
649	114593	61704
650	114743	61513
651	114888	61320
652	115050	61137
653	115230	60962
654	115392	60779
655	115554	60595
656	115710	60408
657	115867	60223
658	116050	60050
659	116234	59878
660	116396	59695
661	116572	59518
662	116728	59332
663	116896	59152
664	117056	58968
665	117229	58790
666	117471	58647
667	117627	58461
668	117797	58282
669	117948	58093
670	118106	57909
671	118259	57721
672	118417	57537
673	118580	57355
674	118749	57175
675	118907	56991
676	119073	56810
677	119281	56649
678	119452	56471
679	119611	56287
680	119774	56105
681	119915	55913
682	120076	55730
683	120226	55543
684	120377	55356
685	120545	55176
686	120791	55033
687	120955	54851
688	121115	54668
689	121287	54491
690	121465	54316
691	121623	54133
692	121792	53954
693	121947	53769
694	122115	53590
695	122281	53410
696	122450	53231
697	122604	53046
698	122760	52862
699	122907	52674
700	123062	52490
701	123217	52305
702	123364	52118
703	123515	51932
704	123664	51746
705	123832	51567
706	124005	51391
707	124163	51208
708	124336	51032
709	124506	50854
710	124661	50671
711	124808	50484
712	124966	50301
