iter	PRAUC	Logloss
81	0.9249541548	0.3682424434
82	0.9250875744	0.3673598698
83	0.9251653338	0.3665366962
84	0.9253059172	0.3657794498
85	0.9254772028	0.3649894752
86	0.9255865201	0.3642500359
87	0.9258568846	0.3631839189
88	0.9263122827	0.3618608991
89	0.9266256407	0.3606210185
90	0.926709886	0.3600299839
91	0.9268776391	0.359196056
92	0.9271565376	0.358468067
93	0.9272967468	0.3577623754
94	0.9274551252	0.3572100918
95	0.9275832057	0.3565873303
96	0.9276036434	0.356137179
97	0.9276561803	0.3556584545
98	0.9276768423	0.3552947698
99	0.9278742578	0.3545158365
100	0.9280130252	0.3538155795
101	0.9282827732	0.3529323892
102	0.9284655513	0.3521434588
103	0.9287020193	0.3514996537
104	0.9288744987	0.3510147925
105	0.9289768984	0.3504210498
106	0.9291497225	0.3496031481
107	0.9293021157	0.3489991493
108	0.9294600034	0.3483408362
109	0.9295445029	0.3480158704
110	0.9296945499	0.347406045
111	0.9297649547	0.3469801026
112	0.9301436831	0.3460978322
113	0.9304436337	0.3453929949
114	0.9307226711	0.3446344838
115	0.9307157501	0.3444836976
116	0.9308040555	0.3441008413
117	0.9309484629	0.3436380941
118	0.9311475622	0.3428470574
119	0.9311921504	0.3424378935
120	0.9313817964	0.3419306489
121	0.9314265512	0.3416598356
122	0.9316663863	0.3411275535
123	0.931854817	0.3405699559
124	0.9320363236	0.3399870581
125	0.9321812401	0.3395508224
126	0.9323159544	0.3390324483
127	0.932486585	0.3385121924
128	0.9325362775	0.3382143235
129	0.9326408533	0.3378532182
130	0.9328797436	0.3372099762
131	0.9329181625	0.3368911277
132	0.9329226976	0.3367852432
133	0.9330449471	0.3363371695
134	0.933202579	0.3359511078
135	0.9332622547	0.3356241712
136	0.933510731	0.3351523933
137	0.9335665569	0.3348091173
138	0.9337393116	0.334335013
139	0.9338267657	0.3339451262
140	0.9338820156	0.3336913076
141	0.9341164972	0.3332410645
142	0.9342213125	0.3327794385
143	0.9342511605	0.332570488
144	0.9342836854	0.3324711779
145	0.9343655941	0.3321813233
146	0.934494275	0.331758618
147	0.934542923	0.331301545
148	0.9346268203	0.3310001683
149	0.9347770678	0.3305643958
150	0.9350064449	0.3298696712
151	0.935086265	0.3296041172
152	0.9351152461	0.3294408215
153	0.935316728	0.3289139304
154	0.9353914326	0.3286359262
155	0.9355119935	0.3283230247
156	0.9355721212	0.3280894796
157	0.9356340903	0.3278132137
158	0.9356626465	0.3276207396
159	0.9358453508	0.3270978807
160	0.9359828	0.3266634322
161	0.9360716556	0.3263026435
162	0.9361679583	0.3260545956
163	0.9362627186	0.3256598562
164	0.9363973411	0.3253200799
165	0.9364119104	0.3252635762
166	0.9364206838	0.3251548105
167	0.9364771746	0.3248592739
168	0.9366083298	0.3244635132
169	0.9366956964	0.3241013427
170	0.9367333173	0.3239473468
171	0.9369259833	0.3233584231
172	0.9369424004	0.3232178249
173	0.9369522714	0.3231891349
174	0.937119065	0.3226466318
175	0.9372529557	0.3221047277
176	0.9374090218	0.321753975
177	0.9375306467	0.3214100215
178	0.9376183807	0.3211492639
179	0.9376771531	0.3208941509
180	0.937901288	0.3204255047
181	0.938085598	0.3200194716
182	0.9380741233	0.3199977671
183	0.9382227713	0.3196313288
184	0.9383167777	0.3193559245
185	0.9384498833	0.3189833987
186	0.9385946522	0.3186373167
187	0.9387152531	0.318290101
188	0.9387699336	0.3180575506
189	0.9388624959	0.3178015166
190	0.939027088	0.3173158003
191	0.9391499825	0.3169991533
192	0.9391884999	0.3168592723
193	0.9392603349	0.3166836215
194	0.9393226949	0.3164592324
195	0.9394174081	0.3161471474
196	0.9395466578	0.3157554005
197	0.9396748541	0.3153506259
198	0.9397606575	0.3150381111
199	0.939830398	0.3148496084
200	0.9398858722	0.3146939634
201	0.9399557892	0.3144642856
202	0.9401186898	0.3139958583
203	0.9402687535	0.3136387212
204	0.9404237815	0.3131178844
205	0.940481355	0.3129341427
206	0.9405302217	0.3127986091
207	0.9406874622	0.3124310334
208	0.9408120522	0.3119823974
209	0.9408857498	0.3118028814
210	0.940965212	0.3115501079
211	0.9409969719	0.3114590485
212	0.941006363	0.3114213189
213	0.9410895534	0.3111341824
214	0.9411700443	0.310924485
215	0.9412832139	0.3106038671
216	0.9413361776	0.3104016077
217	0.9414116234	0.3101743948
218	0.9414160226	0.310143193
219	0.9414553764	0.3099711315
220	0.9415313562	0.3097579936
221	0.9415788644	0.3095772902
222	0.94159926	0.3094443547
223	0.9416065825	0.309424688
224	0.9416280433	0.3093189904
225	0.9416791693	0.3091836434
226	0.9417335162	0.3089217334
227	0.9418312625	0.3086946835
228	0.9419345295	0.3084299903
229	0.9420321958	0.3080815181
230	0.9421015952	0.3079016174
231	0.9421022152	0.3078944321
232	0.942188707	0.3076300024
233	0.942313692	0.3073288706
234	0.9423461958	0.3071695937
235	0.9423875372	0.3069889371
236	0.9425650976	0.3065623796
237	0.9427043341	0.3061029769
238	0.9427082575	0.3060932725
239	0.9427498069	0.3059197553
240	0.9428248403	0.3056521252
241	0.9428653006	0.3055258716
242	0.9429053987	0.3054135234
243	0.9429687587	0.3052202143
